Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 164, Loss: 1.3951, Val Acc@1: 57.120, Best Acc@1: 58.150
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 165, Loss: 1.2538, Val Acc@1: 58.290, Best Acc@1: 58.290
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 166, Loss: 1.3661, Val Acc@1: 57.990, Best Acc@1: 58.290
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 167, Loss: 1.2445, Val Acc@1: 57.780, Best Acc@1: 58.290
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 168, Loss: 1.1549, Val Acc@1: 58.720, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 169, Loss: 1.3073, Val Acc@1: 58.200, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 170, Loss: 1.1248, Val Acc@1: 58.530, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 171, Loss: 1.1729, Val Acc@1: 58.160, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 172, Loss: 1.1317, Val Acc@1: 58.340, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 173, Loss: 1.1550, Val Acc@1: 58.480, Best Acc@1: 58.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 174, Loss: 1.0974, Val Acc@1: 59.000, Best Acc@1: 59.000
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 175, Loss: 1.0604, Val Acc@1: 58.920, Best Acc@1: 59.000
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 176, Loss: 0.9793, Val Acc@1: 59.010, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 177, Loss: 1.0787, Val Acc@1: 58.870, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 178, Loss: 0.9898, Val Acc@1: 58.860, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 179, Loss: 0.9155, Val Acc@1: 58.170, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 180, Loss: 0.9643, Val Acc@1: 58.650, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 181, Loss: 0.8657, Val Acc@1: 58.940, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 182, Loss: 0.9669, Val Acc@1: 58.810, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 183, Loss: 0.8950, Val Acc@1: 58.380, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 184, Loss: 0.8549, Val Acc@1: 58.680, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 185, Loss: 0.8643, Val Acc@1: 58.200, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 186, Loss: 0.9488, Val Acc@1: 58.690, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 187, Loss: 0.8191, Val Acc@1: 58.470, Best Acc@1: 59.010
